date,n1,n2,n3,n4,n5,n6
01/13/2016,1,13,16,10,11,13
01/16/2016,1,16,16,12,17,20
01/20/2016,1,20,16,11,16,19
01/23/2016,1,23,16,1,4,5
01/27/2016,1,27,16,2,9,10
01/30/2016,1,30,16,8,9,20
02/03/2016,2,3,16,9,11,12
02/06/2016,2,6,16,8,12,23
02/10/2016,2,10,16,1,8,19
02/13/2016,2,13,16,20,27,33
02/17/2016,2,17,16,2,6,9
02/20/2016,2,20,16,8,17,18
02/24/2016,2,24,16,1,10,17
02/27/2016,2,27,16,12,13,28
03/02/2016,3,2,16,1,2,10
03/05/2016,3,5,16,8,9,11
03/09/2016,3,9,16,3,11,16
03/12/2016,3,12,16,10,17,24
03/16/2016,3,16,16,22,23,28
03/19/2016,3,19,16,3,4,12
03/23/2016,3,23,16,3,20,21
03/26/2016,3,26,16,4,20,22
03/30/2016,3,30,16,2,5,18
04/02/2016,4,2,16,1,6,17
04/06/2016,4,6,16,26,27,32
04/09/2016,4,9,16,6,10,16
04/13/2016,4,13,16,1,2,18
04/16/2016,4,16,16,3,5,6
04/20/2016,4,20,16,3,9,11
04/23/2016,4,23,16,4,9,22
04/27/2016,4,27,16,14,19,20
04/30/2016,4,30,16,1,6,9
05/04/2016,5,4,16,4,7,13
05/07/2016,5,7,16,10,11,17
05/11/2016,5,11,16,15,20,27
05/14/2016,5,14,16,1,3,13
05/18/2016,5,18,16,7,11,12
05/21/2016,5,21,16,5,15,17
05/25/2016,5,25,16,7,9,13
05/28/2016,5,28,16,11,22,26
06/01/2016,6,1,16,2,11,15
06/04/2016,6,4,16,7,19,20
06/08/2016,6,8,16,9,19,26
06/11/2016,6,11,16,18,21,25
06/15/2016,6,15,16,1,4,12
06/18/2016,6,18,16,17,20,34
06/22/2016,6,22,16,4,11,26
06/25/2016,6,25,16,3,4,19
06/29/2016,6,29,16,6,7,11
07/02/2016,7,2,16,14,21,24
07/06/2016,7,6,16,3,9,12
07/09/2016,7,9,16,1,3,4
07/13/2016,7,13,16,7,27,30
07/16/2016,7,16,16,21,25,26
07/20/2016,7,20,16,14,16,17
07/23/2016,7,23,16,8,13,17
07/27/2016,7,27,16,1,5,7
07/30/2016,7,30,16,24,29,31
08/03/2016,8,3,16,7,16,18
08/06/2016,8,6,16,19,23,27
08/10/2016,8,10,16,1,2,3
08/13/2016,8,13,16,6,13,14
08/17/2016,8,17,16,8,16,26
08/20/2016,8,20,16,1,10,12
08/24/2016,8,24,16,7,10,15
08/27/2016,8,27,16,1,4,13
08/31/2016,8,31,16,1,8,23
09/03/2016,9,3,16,11,20,26
09/07/2016,9,7,16,21,22,25
09/10/2016,9,10,16,3,12,18
09/14/2016,9,14,16,2,19,22
09/17/2016,9,17,16,1,4,26
09/21/2016,9,21,16,6,16,21
09/24/2016,9,24,16,8,18,19
09/28/2016,9,28,16,6,7,10
10/01/2016,10,1,16,4,7,29
10/05/2016,10,5,16,8,10,13
10/08/2016,10,8,16,8,15,17
10/12/2016,10,12,16,18,22,26
10/15/2016,10,15,16,9,15,18
