date,n1,n2,n3,n4,n5,s1
11/11/2021,11,11,21,21,27,34
11/12/2021,11,12,21,7,15,21
11/13/2021,11,13,21,1,29,33
11/14/2021,11,14,21,1,8,21
11/15/2021,11,15,21,5,12,14
11/16/2021,11,16,21,1,12,23
11/17/2021,11,17,21,7,11,24
11/18/2021,11,18,21,10,32,36
11/19/2021,11,19,21,3,4,9
11/20/2021,11,20,21,12,22,24
11/21/2021,11,21,21,3,11,17
11/22/2021,11,22,21,5,7,8
11/23/2021,11,23,21,6,11,14
11/24/2021,11,24,21,5,6,9
11/25/2021,11,25,21,10,12,14
11/26/2021,11,26,21,1,13,20
11/27/2021,11,27,21,2,6,7
11/28/2021,11,28,21,9,14,24
11/29/2021,11,29,21,16,17,22
11/30/2021,11,30,21,9,25,29
12/01/2021,12,1,21,4,6,32
12/02/2021,12,2,21,8,23,29
12/03/2021,12,3,21,3,12,14
12/04/2021,12,4,21,9,18,23
12/05/2021,12,5,21,7,14,18
12/06/2021,12,6,21,1,8,11
12/07/2021,12,7,21,24,31,41
12/08/2021,12,8,21,5,20,24
12/09/2021,12,9,21,8,21,23
12/10/2021,12,10,21,23,29,35
12/11/2021,12,11,21,8,9,16
12/12/2021,12,12,21,7,21,35
12/13/2021,12,13,21,3,9,20
12/14/2021,12,14,21,10,23,24
12/15/2021,12,15,21,10,23,26
12/16/2021,12,16,21,8,10,17
12/17/2021,12,17,21,6,7,25
12/18/2021,12,18,21,4,7,27
12/19/2021,12,19,21,9,16,42
12/20/2021,12,20,21,17,21,31
12/21/2021,12,21,21,2,10,18
12/22/2021,12,22,21,4,29,32
12/23/2021,12,23,21,18,20,22
12/24/2021,12,24,21,2,9,22
12/25/2021,12,25,21,2,5,7
12/26/2021,12,26,21,4,16,27
12/27/2021,12,27,21,12,14,28
12/28/2021,12,28,21,4,6,14
12/29/2021,12,29,21,9,19,21
12/30/2021,12,30,21,7,15,19
12/31/2021,12,31,21,19,36,37
01/01/2022,1,1,22,10,13,19
01/02/2022,1,2,22,3,5,12
01/03/2022,1,3,22,7,12,19
01/04/2022,1,4,22,7,8,13
01/05/2022,1,5,22,5,8,22
01/06/2022,1,6,22,8,10,12
01/07/2022,1,7,22,5,9,22
01/08/2022,1,8,22,10,32,44
01/09/2022,1,9,22,3,10,28
01/10/2022,1,10,22,7,14,32
01/11/2022,1,11,22,2,5,8
01/12/2022,1,12,22,3,27,29
01/13/2022,1,13,22,3,10,24
01/14/2022,1,14,22,2,12,14
01/15/2022,1,15,22,2,9,25
01/16/2022,1,16,22,5,10,18
01/17/2022,1,17,22,9,29,33
01/18/2022,1,18,22,4,31,36
01/19/2022,1,19,22,17,20,24
01/20/2022,1,20,22,4,25,27
01/21/2022,1,21,22,4,23,25
01/22/2022,1,22,22,9,15,17
01/23/2022,1,23,22,7,20,34
01/24/2022,1,24,22,9,22,25
01/25/2022,1,25,22,19,30,32
01/26/2022,1,26,22,10,11,15
01/27/2022,1,27,22,16,23,27
01/28/2022,1,28,22,11,21,27
01/29/2022,1,29,22,3,28,31
01/30/2022,1,30,22,4,11,23
01/31/2022,1,31,22,3,27,28
02/01/2022,2,1,22,4,10,20
02/02/2022,2,2,22,3,5,11
02/03/2022,2,3,22,6,14,16
02/04/2022,2,4,22,19,20,22
02/05/2022,2,5,22,4,18,25
02/06/2022,2,6,22,24,25,33
02/07/2022,2,7,22,6,28,36
02/08/2022,2,8,22,3,10,14
02/09/2022,2,9,22,8,16,22
02/10/2022,2,10,22,8,16,25
02/11/2022,2,11,22,5,7,16
