n1,n2,n3,n4,n5,n6,draw_date
10,7,15,4,6,14,2015-10-07
10,10,15,9,10,11,2015-10-10
10,14,15,2,13,17,2015-10-14
10,17,15,11,15,22,2015-10-17
10,21,15,13,16,35,2015-10-21
10,24,15,7,12,21,2015-10-24
10,28,15,4,5,11,2015-10-28
10,31,15,3,7,10,2015-10-31
11,4,15,7,19,23,2015-11-04
11,7,15,18,22,23,2015-11-07
11,11,15,2,12,17,2015-11-11
11,14,15,5,22,32,2015-11-14
11,18,15,8,9,12,2015-11-18
11,21,15,12,23,27,2015-11-21
11,25,15,5,11,12,2015-11-25
11,28,15,1,3,7,2015-11-28
12,2,15,6,7,8,2015-12-02
12,5,15,15,16,22,2015-12-05
12,9,15,2,10,11,2015-12-09
12,12,15,7,17,25,2015-12-12
12,16,15,2,18,19,2015-12-16
12,19,15,2,24,25,2015-12-19
12,23,15,6,11,21,2015-12-23
12,26,15,3,9,22,2015-12-26
12,30,15,2,5,14,2015-12-30
1,2,16,3,11,17,2016-01-02
1,6,16,13,14,15,2016-01-06
1,9,16,6,15,21,2016-01-09
1,13,16,10,11,13,2016-01-13
1,16,16,12,17,20,2016-01-16
1,20,16,11,16,19,2016-01-20
1,23,16,1,4,5,2016-01-23
1,27,16,2,9,10,2016-01-27
1,30,16,8,9,20,2016-01-30
2,3,16,9,11,12,2016-02-03
2,6,16,8,12,23,2016-02-06
2,10,16,1,8,19,2016-02-10
2,13,16,20,27,33,2016-02-13
2,17,16,2,6,9,2016-02-17
2,20,16,8,17,18,2016-02-20
2,24,16,1,10,17,2016-02-24
2,27,16,12,13,28,2016-02-27
3,2,16,1,2,10,2016-03-02
3,5,16,8,9,11,2016-03-05
3,9,16,3,11,16,2016-03-09
3,12,16,10,17,24,2016-03-12
3,16,16,22,23,28,2016-03-16
3,19,16,3,4,12,2016-03-19
3,23,16,3,20,21,2016-03-23
3,26,16,4,20,22,2016-03-26
3,30,16,2,5,18,2016-03-30
4,2,16,1,6,17,2016-04-02
4,6,16,26,27,32,2016-04-06
4,9,16,6,10,16,2016-04-09
4,13,16,1,2,18,2016-04-13
4,16,16,3,5,6,2016-04-16
4,20,16,3,9,11,2016-04-20
4,23,16,4,9,22,2016-04-23
4,27,16,14,19,20,2016-04-27
4,30,16,1,6,9,2016-04-30
5,4,16,4,7,13,2016-05-04
5,7,16,10,11,17,2016-05-07
5,11,16,15,20,27,2016-05-11
5,14,16,1,3,13,2016-05-14
5,18,16,7,11,12,2016-05-18
5,21,16,5,15,17,2016-05-21
5,25,16,7,9,13,2016-05-25
5,28,16,11,22,26,2016-05-28
6,1,16,2,11,15,2016-06-01
6,4,16,7,19,20,2016-06-04
6,8,16,9,19,26,2016-06-08
6,11,16,18,21,25,2016-06-11
6,15,16,1,4,12,2016-06-15
6,18,16,17,20,34,2016-06-18
6,22,16,4,11,26,2016-06-22
6,25,16,3,4,19,2016-06-25
6,29,16,6,7,11,2016-06-29
7,2,16,14,21,24,2016-07-02
7,6,16,3,9,12,2016-07-06
7,9,16,1,3,4,2016-07-09
7,13,16,7,27,30,2016-07-13
7,16,16,21,25,26,2016-07-16
7,20,16,14,16,17,2016-07-20
7,23,16,8,13,17,2016-07-23
7,27,16,1,5,7,2016-07-27
7,30,16,24,29,31,2016-07-30
8,3,16,7,16,18,2016-08-03
8,6,16,19,23,27,2016-08-06
8,10,16,1,2,3,2016-08-10
8,13,16,6,13,14,2016-08-13
8,17,16,8,16,26,2016-08-17
8,20,16,1,10,12,2016-08-20
8,24,16,7,10,15,2016-08-24
8,27,16,1,4,13,2016-08-27
8,31,16,1,8,23,2016-08-31
9,3,16,11,20,26,2016-09-03
9,7,16,21,22,25,2016-09-07
9,10,16,3,12,18,2016-09-10
9,14,16,2,19,22,2016-09-14
9,17,16,1,4,26,2016-09-17
9,21,16,6,16,21,2016-09-21
9,24,16,8,18,19,2016-09-24
9,28,16,6,7,10,2016-09-28
10,1,16,4,7,29,2016-10-01
10,5,16,8,10,13,2016-10-05
10,8,16,8,15,17,2016-10-08
10,12,16,18,22,26,2016-10-12
10,15,16,9,15,18,2016-10-15
10,19,16,3,4,5,2016-10-19
10,22,16,5,18,20,2016-10-22
10,26,16,3,9,17,2016-10-26
10,29,16,2,4,12,2016-10-29
11,2,16,1,8,15,2016-11-02
11,5,16,2,7,12,2016-11-05
11,9,16,20,25,28,2016-11-09
11,12,16,1,3,32,2016-11-12
11,16,16,1,2,7,2016-11-16
11,19,16,11,19,23,2016-11-19
11,23,16,1,8,12,2016-11-23
11,26,16,11,15,17,2016-11-26
11,30,16,1,6,12,2016-11-30
12,3,16,3,7,12,2016-12-03
12,7,16,1,5,23,2016-12-07
12,10,16,2,9,12,2016-12-10
12,14,16,3,7,17,2016-12-14
12,17,16,2,14,16,2016-12-17
12,21,16,2,8,14,2016-12-21
12,24,16,9,10,14,2016-12-24
12,28,16,6,10,21,2016-12-28
12,31,16,5,8,18,2016-12-31
1,4,17,2,3,17,2017-01-04
1,7,17,4,25,29,2017-01-07
1,11,17,13,14,15,2017-01-11
1,14,17,6,10,20,2017-01-14
1,18,17,5,11,19,2017-01-18
1,21,17,1,4,17,2017-01-21
1,25,17,4,6,15,2017-01-25
1,28,17,10,14,25,2017-01-28
2,1,17,4,13,18,2017-02-01
2,4,17,6,18,19,2017-02-04
2,8,17,10,13,29,2017-02-08
2,11,17,1,19,21,2017-02-11
2,15,17,3,12,13,2017-02-15
2,18,17,6,8,19,2017-02-18
2,22,17,4,10,12,2017-02-22
2,25,17,10,14,23,2017-02-25
3,1,17,5,17,19,2017-03-01
3,4,17,8,13,20,2017-03-04
3,8,17,2,11,19,2017-03-08
3,11,17,8,13,18,2017-03-11
